                  epoch,           train/box_om,           train/cls_om,           train/dfl_om,           train/box_oo,           train/cls_oo,           train/dfl_oo,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),             val/box_om,             val/cls_om,             val/dfl_om,             val/box_oo,             val/cls_oo,             val/dfl_oo,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.2942,                0.82805,                 1.0333,                 1.5056,                 1.1661,                 1.0314,                0.83988,                0.78455,                0.86968,                 0.4356,                 1.6383,                0.86776,                 1.1994,                   1.69,                 1.0497,                 1.1705,              0.0013039,              0.0013039,              0.0013039
                     25,                 1.2794,                0.79667,                 1.0222,                 1.4686,                 1.0993,                 1.0228,                0.85883,                0.74554,                0.85233,                0.41649,                 1.7228,                0.88295,                 1.2539,                 1.8101,                 1.0794,                 1.2204,              0.0012874,              0.0012874,              0.0012874
                     26,                 1.2859,                0.79613,                 1.0193,                 1.4912,                 1.0654,                 1.0131,                0.86071,                0.72617,                0.83381,                0.41146,                 1.6296,                0.95562,                 1.2067,                 1.6639,                 1.2242,                 1.1648,              0.0012709,              0.0012709,              0.0012709
                     27,                 1.2463,                0.80969,                 1.0111,                 1.4638,                 1.0987,                 1.0078,                0.91127,                 0.7467,                0.88906,                0.45854,                 1.6213,                0.82335,                 1.2181,                 1.6866,                 1.0419,                 1.1572,              0.0012544,              0.0012544,              0.0012544
                     28,                 1.2908,                0.80432,                 1.0239,                 1.4726,                 1.0533,                 1.0092,                0.86805,                0.76513,                0.88928,                0.46523,                 1.6159,                0.79156,                 1.1903,                 1.7185,                0.91939,                 1.1492,              0.0012379,              0.0012379,              0.0012379
                     29,                 1.2532,                0.78007,                  1.007,                 1.4471,                 1.0129,                 1.0002,                0.84892,                0.75717,                0.87121,                0.46158,                 1.6109,                0.81752,                 1.1871,                 1.6754,                 1.0133,                 1.1647,              0.0012214,              0.0012214,              0.0012214
                     30,                 1.2472,                0.76704,                 1.0107,                 1.4472,                 1.0123,                 1.0015,                 0.9025,                0.82057,                0.89864,                0.48006,                 1.5683,                0.77181,                 1.1781,                  1.636,                0.93085,                 1.1536,              0.0012049,              0.0012049,              0.0012049
                     31,                 1.2428,                 0.7734,                 1.0117,                 1.4454,                  1.005,                 1.0078,                0.85244,                0.80518,                0.87391,                0.46308,                 1.6112,                0.84906,                 1.1906,                 1.6757,                0.93569,                  1.161,              0.0011884,              0.0011884,              0.0011884
                     32,                 1.2351,                0.75579,                 1.0048,                  1.443,                  0.978,                0.99922,                 0.8831,                 0.8038,                0.89991,                0.48348,                 1.6016,                0.77231,                 1.1942,                 1.6731,                0.94189,                 1.1564,              0.0011719,              0.0011719,              0.0011719
                     33,                  1.266,                0.76845,                 1.0237,                 1.4821,                 1.0141,                 1.0204,                 0.8403,                0.79981,                0.87717,                0.45194,                 1.6245,                0.74858,                 1.2195,                 1.7149,                0.89546,                 1.1926,              0.0011554,              0.0011554,              0.0011554
                     34,                 1.2736,                0.75845,                 1.0233,                 1.5225,                 1.0032,                 1.0193,                0.89394,                0.78371,                0.89109,                0.47991,                 1.6324,                 0.7608,                 1.2135,                  1.681,                0.87821,                 1.1924,              0.0011389,              0.0011389,              0.0011389
                     35,                 1.2585,                 0.7504,                 1.0109,                 1.4641,                0.93241,                 1.0131,                0.85989,                0.85313,                0.89947,                 0.4837,                 1.6313,                0.74661,                 1.2268,                 1.6804,                 0.8825,                 1.1761,              0.0011224,              0.0011224,              0.0011224
                     36,                 1.2117,                0.71209,                0.99465,                 1.4381,                0.92174,                0.98647,                0.84599,                0.82526,                0.89667,                0.47736,                 1.6281,                0.74277,                  1.217,                 1.7027,                0.88572,                 1.1774,              0.0011059,              0.0011059,              0.0011059
                     37,                 1.2606,                0.73595,                 1.0053,                 1.4639,                0.92482,                 1.0008,                0.88486,                0.84988,                0.91006,                0.47779,                 1.6035,                0.76393,                  1.194,                  1.685,                0.83551,                 1.1466,              0.0010894,              0.0010894,              0.0010894
                     38,                  1.189,                0.70968,                0.99929,                 1.4261,                0.91769,                0.99622,                0.84025,                0.82684,                0.88533,                0.47305,                 1.6076,                0.71502,                 1.2172,                  1.722,                0.82791,                 1.1825,              0.0010729,              0.0010729,              0.0010729
                     39,                 1.2019,                0.71425,                 1.0071,                 1.3971,                0.89235,                0.99319,                 0.8092,                0.86539,                0.88643,                0.42195,                 1.7342,                0.75278,                 1.2879,                 1.8211,                0.89184,                 1.2469,              0.0010564,              0.0010564,              0.0010564
                     40,                 1.2288,                0.70577,                 1.0028,                 1.4427,                0.88427,                 1.0003,                0.82962,                0.85712,                0.89621,                0.46342,                 1.6432,                0.75015,                 1.2044,                 1.7231,                0.85038,                 1.1565,              0.0010399,              0.0010399,              0.0010399
                     41,                 1.2231,                 0.6951,                 1.0046,                 1.4522,                0.88247,                 1.0048,                0.89412,                0.84919,                0.91209,                0.47505,                  1.644,                0.74518,                 1.2158,                 1.7162,                0.83849,                 1.1647,              0.0010234,              0.0010234,              0.0010234
